mean,ID,name,system:index
6.0,7,Xinyu,3_127
6.0,7,Xinyu,3_128
6.0,7,Xinyu,3_129
6.0,7,Xinyu,3_130
6.0,7,Xinyu,3_131
6.0,7,Xinyu,3_132
6.0,7,Xinyu,3_133
6.0,7,Xinyu,3_134
6.0,7,Xinyu,3_135
7.0,7,Xinyu,3_136
6.0,7,Xinyu,3_137
6.0,7,Xinyu,3_138
6.0,7,Xinyu,3_139
6.0,7,Xinyu,3_140
6.0,7,Xinyu,3_141
6.0,7,Xinyu,3_142
6.0,7,Xinyu,3_143
6.0,7,Xinyu,3_144
6.0,7,Xinyu,3_145
6.0,7,Xinyu,3_146
6.0,7,Xinyu,3_147
6.0,7,Xinyu,3_148
7.0,7,Xinyu,3_149
6.0,6,Fuzhou,4_0
6.0,6,Fuzhou,4_1
6.0,6,Fuzhou,4_2
6.0,6,Fuzhou,4_3
6.0,6,Fuzhou,4_4
5.0,6,Fuzhou,4_5
6.0,6,Fuzhou,4_6
6.0,6,Fuzhou,4_7
6.0,6,Fuzhou,4_8
6.0,6,Fuzhou,4_9
6.0,6,Fuzhou,4_10
6.0,6,Fuzhou,4_11
6.0,6,Fuzhou,4_12
6.0,6,Fuzhou,4_13
6.0,6,Fuzhou,4_14
6.0,6,Fuzhou,4_15
6.0,6,Fuzhou,4_16
6.0,6,Fuzhou,4_17
6.0,6,Fuzhou,4_18
6.0,6,Fuzhou,4_19
6.0,6,Fuzhou,4_20
6.0,6,Fuzhou,4_21
6.0,6,Fuzhou,4_22
6.0,6,Fuzhou,4_23
5.0,6,Fuzhou,4_24
6.0,6,Fuzhou,4_25
6.0,6,Fuzhou,4_26
6.0,6,Fuzhou,4_27
6.0,6,Fuzhou,4_28
6.0,6,Fuzhou,4_29
6.0,6,Fuzhou,4_30
6.0,6,Fuzhou,4_31
6.0,6,Fuzhou,4_32
6.0,6,Fuzhou,4_33
6.0,6,Fuzhou,4_34
6.0,6,Fuzhou,4_35
6.0,6,Fuzhou,4_36
6.0,6,Fuzhou,4_37
5.0,6,Fuzhou,4_38
5.0,6,Fuzhou,4_39
6.0,6,Fuzhou,4_40
6.0,6,Fuzhou,4_41
6.0,6,Fuzhou,4_42
6.0,6,Fuzhou,4_43
6.0,6,Fuzhou,4_44
6.0,6,Fuzhou,4_45
6.0,6,Fuzhou,4_46
5.0,6,Fuzhou,4_47
6.0,6,Fuzhou,4_48
6.0,6,Fuzhou,4_49
6.0,6,Fuzhou,4_50
6.0,6,Fuzhou,4_51
6.0,6,Fuzhou,4_52
6.0,6,Fuzhou,4_53
6.0,6,Fuzhou,4_54
6.0,6,Fuzhou,4_55
6.0,6,Fuzhou,4_56
6.0,6,Fuzhou,4_57
5.0,6,Fuzhou,4_58
6.0,6,Fuzhou,4_59
6.0,6,Fuzhou,4_60
6.0,6,Fuzhou,4_61
6.0,6,Fuzhou,4_62
5.0,6,Fuzhou,4_63
5.0,6,Fuzhou,4_64
6.0,6,Fuzhou,4_65
5.0,6,Fuzhou,4_66
6.0,6,Fuzhou,4_67
6.0,6,Fuzhou,4_68
5.0,6,Fuzhou,4_69
6.0,6,Fuzhou,4_70
6.0,6,Fuzhou,4_71
6.0,6,Fuzhou,4_72
6.0,6,Fuzhou,4_73
6.0,6,Fuzhou,4_74
6.0,6,Fuzhou,4_75
6.0,6,Fuzhou,4_76
6.0,6,Fuzhou,4_77
6.0,6,Fuzhou,4_78
